Ref.Data,Citta,Zona,Address,Price,Dimension (m2),Floor,Ascensore,Rooms,Bathrooms,Build.Date,Stato,longitude,latitude
03/05/2023,Torino,Barriera di Milano,via Vestignè 4,158000,119,2,0,3,1,1920,Buono / Abitabile,7.6929323,45.0932145
08/05/2023,Torino,Rebaudengo,via Rocco Scotellaro 67,148000,106,0,1,4,2,1970,Ottimo / Ristrutturato,7.7032457,45.1096571
05/05/2023,Torino,Aurora,via Francesco Cigna 41,118000,74,6,1,2,1,1980,,7.6795024,45.0837965
05/05/2023,Torino,Barriera di Milano,piazza Domenico Cimarosa 45,190000,110,7,1,4,1,1980,Ottimo / Ristrutturato,7.7075107,45.0880558
02/05/2023,Torino,Aurora,corso Emilia 30,79000,80,3,1,3,1,1980,Buono / Abitabile,7.6819716,45.0849583
02/05/2023,Torino,Barriera di Milano,via Ruggero Leoncavallo 45,199000,130,8,1,4,2,1950,Ottimo / Ristrutturato,7.7004018,45.086882
02/05/2023,Torino,Barriera di Milano,via Luigi Salvatore Cherubini 20,30900,55,5,0,2,1,1970,Buono / Abitabile,7.6969144,45.0925853
09/05/2023,Torino,Aurora,corso Brescia 28,149000,91,4,1,3,1,1980,Buono / Abitabile,7.6902019,45.0819909
04/05/2023,Torino,Aurora,corso Emilia 30,129000,81,2,1,3,1,1950,Ottimo / Ristrutturato,7.6819716,45.0849583
01/05/2023,Torino,Aurora,corso Principe Oddone 50,72000,68,2,1,2,1,1930,Ottimo / Ristrutturato,7.6737389,45.083684
08/05/2023,Torino,Barriera di Milano,via Desana,191000,85,5,1,3,1,1980,Nuovo / In costruzione,7.6907105,45.0964957
08/05/2023,Torino,Barriera di Milano,via Alessandro Scarlatti,166000,75,4,1,3,1,1980,Nuovo / In costruzione,7.6940813,45.0908232
08/05/2023,Torino,Aurora,largo Brescia,205000,75,2,1,3,1,1980,Nuovo / In costruzione,7.6928166,45.0812434
08/05/2023,Torino,Aurora,Strada Del Fortino,158000,70,2,1,3,1,1980,Nuovo / In costruzione,7.6799193,45.0842771
08/05/2023,Torino,Barriera di Milano,via Renato Martorelli,209000,95,2,1,3,1,1980,Nuovo / In costruzione,7.6938308,45.0961632
02/05/2023,Torino,Barriera di Milano,via sempione 160,47900,55,0,1,2,1,1970,,7.6987858,45.0965436
29/04/2023,Torino,Barriera di Milano,via Pier Fortunato Calvi 16,38000,55,1,1,2,1,1980,,7.6971229,45.0954276
04/05/2023,Torino,Aurora,via Bognanco 5,125000,71,1,1,3,1,1900,Ottimo / Ristrutturato,7.6789143,45.0840799
08/05/2023,Torino,Aurora,via Salerno 5,157000,90,2,1,4,1,1924,Buono / Abitabile,7.6741531,45.080553
05/05/2023,Torino,Barriera di Milano,via Lauro Rossi 77,48000,55,2,1,2,1,1955,Da ristrutturare,7.6871925,45.0972525
28/04/2023,Torino,Barriera di Milano,corso Giulio Cesare 160,79000,66,3,0,3,1,1940,Ottimo / Ristrutturato,7.6966698,45.0964417
09/05/2023,Torino,Rebaudengo,corso Vercelli 226,99000,93,5,1,3,1,1965,Buono / Abitabile,7.6972446,45.1072168
